rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons,key,adp,market,source,status,out,has_market,edge,thin,low_conf,model_value,model_only,expert_rank,expert_adp_rank,expert_tilt,expert_move
157,Chris Rodriguez Jr.,RB,54,WAS,26.0,116.6,8.04,-18.7,1,,28,3,chris rodriguez,159.9,2,yahoo,,False,True,-1,False,False,1,1,40.0,42.0,0.0,0
158,Tyler Allgeier,RB,55,ATL,26.0,116.7,8.05,-18.6,1,,51,3,tyler allgeier,147.4,2,yahoo,,False,True,-1,False,False,1,1,,,0.0,0
159,Jauan Jennings,WR,58,SF,29.0,136.6,9.11,-0.2,1,,43,3,jauan jennings,147.2,5,curve,,False,True,-4,False,False,1,1,,,0.0,0
160,Stefon Diggs,WR,59,NE,32.0,136.8,9.12,0.0,1,,42,3,stefon diggs,91.4,4,yahoo,,False,True,-3,False,False,1,1,38.0,40.0,0.0,0
161,Jordan Mason,RB,56,MIN,27.0,116.7,8.05,-18.6,1,,44,3,jordan mason,118.7,5,yahoo,,False,True,-4,False,False,1,1,41.0,38.0,0.0,0
162,Dylan Sampson,RB,57,CLE,21.0,116.9,8.06,-18.4,1,,15,1,dylan sampson,,1,curve,,False,False,0,True,True,1,1,45.0,54.0,0.0,0
163,Kenny Gainwell,RB,58,PIT,27.0,123.1,8.49,-12.2,3,,50,3,kenny gainwell,96.8,5,yahoo,,False,True,-2,False,False,1,1,29.0,39.0,4.0,2
164,Pat Freiermuth,TE,27,PIT,27.0,107.2,7.15,-6.4,1,,43,3,pat freiermuth,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
165,David Njoku,TE,28,CLE,30.0,113.6,7.57,0.0,1,,38,3,david njoku,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
166,Lew Nichols III,RB,59,PIT,24.0,123.2,8.5,-12.1,1,,1,1,lew nichols,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
167,Kendall Milton,RB,60,CIN,24.0,123.7,8.53,-11.6,1,,1,1,kendall milton,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
168,Jake Tonges,TE,29,SF,27.0,100.6,6.71,-13.0,1,,12,2,jake tonges,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
169,Isaiah Likely,TE,30,BAL,26.0,91.5,6.1,-22.1,1,,41,3,isaiah likely,137.2,4,yahoo,,False,True,-3,False,False,1,1,14.0,13.0,0.0,0
170,Bam Knight,RB,61,ARI,,124.0,8.55,-11.3,1,,14,2,bam knight,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
171,Chig Okonkwo,TE,31,TEN,26.0,96.4,6.43,-17.2,1,,50,3,chig okonkwo,,1,curve,,False,False,0,False,True,1,1,18.0,19.0,0.0,0
172,Rashid Shaheed,WR,60,SEA,27.0,129.6,8.64,-7.2,1,,39,3,rashid shaheed,112.9,10,curve,,False,True,-9,False,False,1,1,,,0.0,0
173,Kayshon Boutte,WR,61,NE,24.0,130.8,8.72,-6.0,1,,32,3,kayshon boutte,165.2,4,curve,,False,True,-3,False,False,1,1,,,0.0,0
174,Tyjae Spears,RB,62,TEN,25.0,131.4,9.06,-3.9,1,Questionable,42,3,tyjae spears,146.1,6,curve,,False,True,-5,False,False,1,1,,,0.0,0
175,Luther Burden III,WR,62,CHI,22.0,131.8,8.79,-5.0,23,Questionable,15,1,luther burden,54.7,23,yahoo,Q,False,True,0,True,False,1,23,23.0,24.0,0.0,0
176,Troy Franklin,WR,63,DEN,23.0,133.4,8.89,-3.4,1,,33,2,troy franklin,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
177,Jalen McMillan,WR,64,TB,24.0,133.4,8.89,-3.4,6,Questionable,17,2,jalen mcmillan,140.6,6,curve,,False,True,0,True,False,1,6,,,0.0,0
178,Mark Andrews,TE,32,BAL,30.0,109.6,7.31,-4.0,2,,44,3,mark andrews,138.4,6,curve,,False,True,-4,False,False,1,1,12.0,15.0,1.0,1
179,Josh Downs,WR,65,IND,25.0,135.2,9.01,-1.6,2,Questionable,47,3,josh downs,99.8,3,yahoo,Q,False,True,-1,False,False,1,1,35.0,39.0,2.0,1
180,Kimani Vidal,RB,63,LAC,24.0,135.3,9.33,0.0,5,,22,2,kimani vidal,150.2,5,curve,,False,True,0,True,False,1,5,,,0.0,0
181,Khalil Shakir,WR,66,BUF,26.0,135.9,9.06,-0.9,1,,47,3,khalil shakir,104.4,12,curve,,False,True,-11,False,False,1,1,,,0.0,0
182,Keon Coleman,WR,67,BUF,23.0,136.4,9.09,-0.4,1,,25,2,keon coleman,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
183,Pharaoh Brown,TE,33,ARI,32.0,30.6,2.04,-83.0,1,,26,3,pharaoh brown,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
184,Chris Manhertz,TE,34,NYG,34.0,30.7,2.05,-82.9,1,,19,3,chris manhertz,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
185,Durham Smythe,TE,35,CHI,31.0,32.4,2.16,-81.2,1,,34,3,durham smythe,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
186,Dare Ogunbowale,RB,64,HOU,32.0,32.6,2.25,-102.7,1,,39,3,dare ogunbowale,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
187,Xavier Gipson,WR,68,PHI,25.0,32.6,2.17,-104.2,1,,40,3,xavier gipson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
188,Charlie Woerner,TE,36,ATL,28.0,32.6,2.17,-81.0,1,,29,3,charlie woerner,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
189,Eric Saubert,TE,37,SEA,32.0,34.0,2.27,-79.6,1,,24,3,eric saubert,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
190,Reggie Gilliam,RB,65,BUF,28.0,39.7,2.74,-95.6,1,,23,3,reggie gilliam,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
191,Aidan O'Connell,QB,21,LV,27.0,169.0,10.9,-87.2,1,,21,3,aidan oconnell,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
192,Josiah Deguara,TE,38,ARI,29.0,36.2,2.41,-77.4,1,,23,3,josiah deguara,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
193,Devin Duvernay,WR,69,CHI,28.0,27.0,1.8,-109.8,1,,43,3,devin duvernay,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
194,Andrew Ogletree,TE,39,IND,,36.6,2.44,-77.0,1,,34,3,andrew ogletree,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
195,DeeJay Dallas,RB,66,JAX,27.0,36.8,2.54,-98.5,1,,38,3,deejay dallas,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
196,Derius Davis,WR,70,LAC,25.0,37.5,2.5,-99.3,1,,43,3,derius davis,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
197,Charlie Jones,WR,71,CIN,27.0,37.9,2.53,-98.9,1,,32,3,charlie jones,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
198,John Bates,TE,40,WAS,28.0,37.9,2.53,-75.7,1,Questionable,38,3,john bates,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
199,Johnny Mundt,TE,41,JAX,31.0,38.4,2.56,-75.2,1,,36,3,johnny mundt,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
200,Brady Russell,RB,67,SEA,27.0,38.4,2.65,-96.9,1,,24,3,brady russell,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
201,Robert Tonyan,TE,42,KC,32.0,38.4,2.56,-75.2,1,,14,2,robert tonyan,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
202,Luke Farrell,TE,43,SF,28.0,38.6,2.57,-75.0,1,,35,3,luke farrell,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
203,Travis Homer,RB,68,CHI,28.0,38.7,2.67,-96.6,1,,23,3,travis homer,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
204,James Proche,WR,72,TEN,29.0,38.8,2.59,-98.0,1,,25,3,james proche,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
205,Julian Hill,TE,44,MIA,,39.0,2.6,-74.6,1,,35,3,julian hill,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
206,Harrison Bryant,TE,45,HOU,28.0,39.2,2.61,-74.4,1,Questionable,25,3,harrison bryant,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
207,KhaDarel Hodge,WR,73,ATL,31.0,39.4,2.63,-97.4,1,,32,3,khadarel hodge,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
208,Ben Skowronek,WR,74,PIT,29.0,34.6,2.31,-102.2,1,,38,3,ben skowronek,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
209,Jameis Winston,QB,22,NYG,32.0,171.0,11.03,-85.2,1,,20,3,jameis winston,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
210,Tanner McKee,QB,23,PHI,26.0,172.4,11.12,-83.8,1,,6,2,tanner mckee,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
211,Carson Wentz,QB,24,MIN,33.0,174.5,11.26,-81.7,1,,8,3,carson wentz,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
212,Joe Milton III,QB,25,DAL,26.0,174.7,11.27,-81.5,1,,5,2,joe milton,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
213,Spencer Rattler,QB,26,NO,25.0,181.2,11.69,-75.0,1,,16,2,spencer rattler,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
214,Jalen Milroe,QB,27,SEA,23.0,181.4,11.7,-74.8,1,,3,1,jalen milroe,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
215,Mac Jones,QB,28,SF,27.0,184.5,11.9,-71.7,1,,32,3,mac jones,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
216,Jacoby Brissett,QB,29,ARI,33.0,186.0,12.0,-70.2,1,,23,3,jacoby brissett,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
217,Jarrett Stidham,QB,30,DEN,30.0,152.5,9.84,-103.7,1,,5,3,jarrett stidham,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
218,Kirk Cousins,QB,31,ATL,37.0,155.2,10.01,-101.0,1,,32,3,kirk cousins,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
219,Chris Oladokun,QB,32,KC,28.0,155.8,10.05,-100.4,1,,4,2,chris oladokun,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
220,Shedeur Sanders,QB,33,CLE,24.0,188.8,12.18,-67.4,1,,8,1,shedeur sanders,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
221,Riley Leonard,QB,34,IND,23.0,189.6,12.23,-66.6,1,,5,1,riley leonard,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
222,Kedon Slovis,QB,35,ARI,25.0,190.0,12.26,-66.2,1,,2,1,kedon slovis,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
223,Marcus Mariota,QB,36,WAS,32.0,191.9,12.38,-64.3,1,,15,3,marcus mariota,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
224,Shane Buechele,QB,37,KC,28.0,192.5,12.42,-63.7,1,,1,1,shane buechele,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
225,Tua Tagovailoa,QB,38,MIA,28.0,197.2,12.72,-59.0,1,Questionable,42,3,tua tagovailoa,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
226,Adrian Martinez,QB,39,SF,26.0,201.3,12.99,-54.9,1,,1,1,adrian martinez,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
227,J.J. McCarthy,QB,40,MIN,23.0,201.7,13.01,-54.5,1,,10,1,jj mccarthy,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
228,Malik Willis,QB,41,GB,27.0,203.0,13.1,-53.2,2,,12,3,malik willis,155.4,2,yahoo,,False,True,0,True,False,0,2,20.0,21.0,0.0,0
229,Anthony Richardson,QB,42,IND,24.0,203.2,13.11,-53.0,1,,17,3,anthony richardson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
230,Quinn Ewers,QB,43,MIA,23.0,203.2,13.11,-53.0,1,,4,1,quinn ewers,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
231,Bryce Young,QB,44,CAR,25.0,203.7,13.14,-52.5,1,,46,3,bryce young,,1,curve,,False,False,0,False,True,0,1,24.0,27.0,0.0,0
232,Michael Penix Jr.,QB,45,ATL,26.0,204.6,13.2,-51.6,1,Questionable,14,2,michael penix,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
233,Sam Darnold,QB,46,SEA,29.0,213.6,13.78,-42.6,1,,44,3,sam darnold,145.5,2,yahoo,,False,True,-1,False,False,0,1,23.0,22.0,0.0,0
234,Tyler Shough,QB,47,NO,26.0,215.1,13.88,-41.1,2,,11,1,tyler shough,138.4,2,yahoo,,False,True,0,True,False,0,2,21.0,20.0,0.0,0
235,Tyrod Taylor,QB,48,NYJ,37.0,144.5,9.32,-111.7,1,,18,3,tyrod taylor,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
236,Teddy Bridgewater,QB,49,TB,33.0,144.9,9.35,-111.3,1,,4,2,teddy bridgewater,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
237,Joe Flacco,QB,50,CIN,41.0,150.0,9.68,-106.2,1,,25,3,joe flacco,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
238,Philip Rivers,QB,51,IND,44.0,150.2,9.69,-106.0,1,,3,1,philip rivers,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
239,Drew Lock,QB,52,SEA,29.0,138.1,8.91,-118.1,1,,14,3,drew lock,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
240,Mitchell Trubisky,QB,53,BUF,31.0,138.7,8.95,-117.5,1,,17,3,mitchell trubisky,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
241,Trey Lance,QB,54,LAC,26.0,139.3,8.99,-116.9,1,,8,2,trey lance,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
242,Brandon Allen,QB,55,TEN,33.0,140.6,9.07,-115.6,1,,4,2,brandon allen,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
243,Joshua Dobbs,QB,56,NE,31.0,140.9,9.09,-115.3,1,,19,3,joshua dobbs,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
244,Mason Rudolph,QB,57,PIT,31.0,141.7,9.14,-114.5,1,,17,3,mason rudolph,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
245,Tyson Bagent,QB,58,CHI,26.0,133.6,8.62,-122.6,1,,11,3,tyson bagent,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
246,Max Brosmer,QB,59,MIN,25.0,125.9,8.12,-130.3,1,,7,1,max brosmer,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
247,Jimmy Garoppolo,QB,60,LA,34.0,126.0,8.13,-130.2,1,,11,3,jimmy garoppolo,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
248,Josh Johnson,QB,61,WAS,40.0,129.4,8.35,-126.8,1,,7,2,josh johnson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
249,Daniel Jones,QB,62,IND,29.0,229.1,14.78,-27.1,1,,29,3,daniel jones,148.7,1,yahoo,,False,True,0,False,False,0,1,22.0,24.0,0.0,0
250,Justin Fields,QB,63,NYJ,27.0,233.4,15.06,-22.8,1,,32,3,justin fields,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
251,Zach Wilson,QB,64,MIA,27.0,112.5,7.26,-143.7,1,,16,2,zach wilson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
252,Feleipe Franks,TE,46,ATL,28.0,30.4,2.03,-83.2,1,,19,2,feleipe franks,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
253,Quentin Skinner,WR,75,NYJ,24.0,113.7,7.58,-23.1,1,,1,1,quentin skinner,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
254,Kyle Allen,QB,65,DET,30.0,115.2,7.43,-141.0,1,,9,3,kyle allen,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
255,Gardner Minshew,QB,66,KC,30.0,115.6,7.46,-140.6,1,,30,3,gardner minshew,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
256,Andy Dalton,QB,67,CAR,38.0,116.4,7.51,-139.8,1,,12,3,andy dalton,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
257,DeMario Douglas,WR,76,NE,25.0,107.6,7.17,-29.2,1,,46,3,demario douglas,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
258,Tez Johnson,WR,77,TB,24.0,107.7,7.18,-29.1,1,Questionable,15,1,tez johnson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
259,Pat Bryant,WR,78,DEN,23.0,108.6,7.24,-28.2,1,,13,1,pat bryant,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
260,Marquise Brown,WR,79,KC,29.0,109.4,7.29,-27.4,1,,31,3,marquise brown,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
261,Blake Corum,RB,69,LA,25.0,109.6,7.56,-25.7,1,,32,2,blake corum,119.6,7,yahoo,,False,True,-6,False,False,0,1,35.0,35.0,0.0,0
262,Kareem Hunt,RB,70,KC,30.0,110.1,7.59,-25.2,1,,45,3,kareem hunt,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
263,Corey Kiner,RB,71,ARI,24.0,110.2,7.6,-25.1,1,,4,1,corey kiner,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
264,Austin Ekeler,RB,72,WAS,30.0,110.8,7.64,-24.5,1,,28,3,austin ekeler,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
265,Nick Mullens,QB,68,JAX,31.0,111.6,7.2,-144.6,1,,13,3,nick mullens,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
266,Trey Benson,RB,73,ARI,24.0,111.9,7.72,-23.4,1,,16,2,trey benson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
267,DJ Giddens,RB,74,IND,22.0,112.2,7.74,-23.1,1,Questionable,5,1,dj giddens,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
268,Brian Robinson,RB,75,SF,27.0,104.3,7.19,-31.0,1,,46,3,brian robinson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
269,Kalel Mullings,RB,76,TEN,23.0,104.4,7.2,-30.9,1,Questionable,4,1,kalel mullings,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
270,Cooper Rush,QB,69,BAL,32.0,104.5,6.74,-151.7,1,,23,3,cooper rush,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
271,Jordan Watkins,WR,80,SF,24.0,104.6,6.97,-32.2,1,,2,1,jordan watkins,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
272,Jaret Patterson,RB,77,LAC,26.0,104.7,7.22,-30.6,1,,6,1,jaret patterson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
273,Michael Carter,RB,78,ARI,27.0,105.0,7.24,-30.3,1,,31,3,michael carter,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
274,Jalen Royals,WR,81,KC,23.0,105.6,7.04,-31.2,1,,2,1,jalen royals,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
275,Marvin Mims Jr.,WR,82,DEN,24.0,105.8,7.05,-31.0,1,Questionable,48,3,marvin mims,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
276,Jakobie Keeney-James,WR,83,GB,25.0,106.4,7.09,-30.4,1,,1,1,jakobie keeney james,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
277,Jared Wayne,WR,84,HOU,25.0,107.4,7.16,-29.4,1,,1,1,jared wayne,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
278,Jacoby Jones,WR,85,WAS,25.0,107.4,7.16,-29.4,1,,1,1,jacoby jones,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
279,Dalevon Campbell,WR,86,CAR,24.0,107.6,7.17,-29.2,1,,1,1,dalevon campbell,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
280,Xavier Restrepo,WR,87,TEN,24.0,107.6,7.17,-29.2,1,,2,1,xavier restrepo,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
281,Tank Bigsby,RB,79,PHI,23.0,99.6,6.87,-35.7,2,,44,3,tank bigsby,159.8,2,yahoo,,False,True,0,False,False,0,1,44.0,52.0,2.0,1
282,Owen Wright,RB,80,TB,27.0,99.6,6.87,-35.7,1,,2,1,owen wright,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
283,Cooper Kupp,WR,88,SEA,33.0,100.4,6.69,-36.4,1,,40,3,cooper kupp,156.2,5,curve,,False,True,-4,False,False,0,1,,,0.0,0
284,Darnell Mooney,WR,89,ATL,28.0,100.4,6.69,-36.4,1,,45,3,darnell mooney,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
285,Jahdae Walker,WR,90,CHI,24.0,101.1,6.74,-35.7,1,,6,1,jahdae walker,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
286,Matthew Golden,WR,91,GB,23.0,101.4,6.76,-35.4,9,,14,1,matthew golden,117.4,9,curve,,False,True,0,True,False,0,9,,,0.0,0
287,Isaac TeSlaa,WR,92,DET,24.0,101.6,6.77,-35.2,1,,14,1,isaac teslaa,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
288,Brittain Brown,RB,81,CHI,28.0,101.9,7.03,-33.4,1,,2,1,brittain brown,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
289,Xavier Legette,WR,93,CAR,25.0,102.4,6.83,-34.4,1,,30,2,xavier legette,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
290,Kendre Miller,RB,82,NO,24.0,102.5,7.07,-32.8,1,Questionable,20,3,kendre miller,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
291,Devaughn Vele,WR,94,NO,28.0,102.9,6.86,-33.9,1,,22,2,devaughn vele,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
292,Braelon Allen,RB,83,NYJ,22.0,103.2,7.12,-32.1,1,,21,2,braelon allen,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
293,Dominic Lovett,WR,95,DET,23.0,103.8,6.92,-33.0,1,,2,1,dominic lovett,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
294,Darius Slayton,WR,96,NYG,29.0,96.2,6.41,-40.6,1,,47,3,darius slayton,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
295,Malik Washington,WR,97,MIA,25.0,96.2,6.41,-40.6,1,,31,2,malik washington,157.9,4,curve,,False,True,-3,False,False,0,1,,,0.0,0
296,Robbie Ouzts,RB,84,SEA,,97.2,6.7,-38.1,1,,4,1,robbie ouzts,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
297,Nyheim Hines,RB,85,NO,,97.2,6.7,-38.1,1,,4,1,nyheim hines,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
298,Keaton Mitchell,RB,86,BAL,24.0,97.3,6.71,-38.0,2,,24,3,keaton mitchell,154.1,2,yahoo,,False,True,0,True,False,0,2,,,0.0,0
299,Devin Singletary,RB,87,NYG,28.0,97.4,6.72,-37.9,1,,49,3,devin singletary,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
300,Kenny Pickett,QB,70,LV,28.0,98.4,6.35,-157.8,1,,23,3,kenny pickett,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
301,Tahj Washington,WR,98,MIA,25.0,98.7,6.58,-38.1,1,,2,1,tahj washington,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
302,Rashod Bateman,WR,99,BAL,26.0,98.7,6.58,-38.1,1,,44,3,rashod bateman,134.3,7,curve,,False,True,-6,False,False,0,1,,,0.0,0
303,Ryan Flournoy,WR,100,DAL,26.0,98.8,6.59,-38.0,1,,24,2,ryan flournoy,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
304,Dontayvion Wicks,WR,101,GB,25.0,99.0,6.6,-37.8,1,,45,3,dontayvion wicks,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
305,Jeshaun Jones,WR,102,MIN,26.0,99.0,6.6,-37.8,1,,1,1,jeshaun jones,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
306,Jaylen Wright,RB,88,MIA,23.0,99.0,6.83,-36.3,1,,22,2,jaylen wright,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
307,Elijah Mitchell,RB,89,KC,,92.2,6.36,-43.1,1,,12,2,elijah mitchell,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
308,Jalen Nailor,WR,103,MIN,27.0,92.4,6.16,-44.4,1,,35,3,jalen nailor,144.2,6,curve,,False,True,-5,False,False,0,1,,,0.0,0
309,Clayton Tune,QB,71,GB,27.0,92.7,5.98,-163.5,1,,13,3,clayton tune,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
310,Ollie Gordon II,RB,90,MIA,22.0,92.8,6.4,-42.5,1,,17,1,ollie gordon,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
311,Jaleel McLaughlin,RB,91,DEN,25.0,93.1,6.42,-42.2,1,,41,3,jaleel mclaughlin,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
312,Antonio Gibson,RB,92,NE,27.0,93.7,6.46,-41.6,1,Questionable,38,3,antonio gibson,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
313,Jalen Moreno-Cropper,WR,104,DAL,25.0,94.6,6.31,-42.2,1,,2,1,jalen moreno cropper,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
314,Andrei Iosivas,WR,105,CIN,26.0,94.6,6.31,-42.2,1,,43,3,andrei iosivas,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
315,Gabe Davis,WR,106,BUF,26.0,95.0,6.33,-41.8,1,Questionable,32,3,gabe davis,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
316,Tyquan Thornton,WR,107,KC,26.0,95.1,6.34,-41.7,1,,25,3,tyquan thornton,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
317,Terrell Jennings,RB,93,NE,25.0,95.4,6.58,-39.9,1,,8,2,terrell jennings,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
318,Shedrick Jackson,WR,108,LV,26.0,95.4,6.36,-41.4,1,,5,2,shedrick jackson,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
319,Coleman Owen,WR,109,IND,25.0,95.8,6.39,-41.0,1,,2,1,coleman owen,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
320,Sean Tucker,RB,94,TB,24.0,95.8,6.61,-39.5,1,,37,3,sean tucker,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
321,Jerome Ford,RB,95,CLE,26.0,96.0,6.62,-39.3,1,,44,3,jerome ford,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
322,Kyle Williams,WR,110,NE,23.0,89.1,5.94,-47.7,1,,14,1,kyle williams,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
323,Evan Hull,RB,96,NO,25.0,89.2,6.15,-46.1,1,,7,2,evan hull,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
324,Ray Davis,RB,97,BUF,26.0,89.3,6.16,-46.0,1,,34,2,ray davis,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
325,Dalen Cambre,WR,111,NYG,25.0,89.6,5.97,-47.2,1,,3,1,dalen cambre,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
326,Justice Hill,RB,98,BAL,28.0,89.8,6.19,-45.5,1,,41,3,justice hill,,1,curve,,False,False,0,False,True,0,1,,,0.0,0
327,Jaylin Noel,WR,112,HOU,23.0,90.3,6.02,-46.5,1,,17,1,jaylin noel,,1,curve,,False,False,0,True,True,0,1,,,0.0,0
